id;start_date;end_date;language
1;2020-07-20T08:05:59;2020-07-20T05:56:14;SPANISH
2;2020-07-19T12:56:10;2020-07-20T08:00:35;SPANISH
3;2020-07-20T03:51:29;2020-07-19T14:25:38;FRENCH
4;2020-07-19T19:09:00;2020-07-20T06:40:26;FRENCH
5;2020-07-20T04:39:18;2020-07-20T09:26:17;FRENCH
6;2020-07-19T22:31:39;2020-07-20T10:39:53;FRENCH
7;2020-07-20T00:16:59;2020-07-19T18:07:50;FRENCH
8;2020-07-19T23:13:12;2020-07-20T09:29:20;SPANISH
9;2020-07-19T21:54:21;2020-07-19T18:35:44;SPANISH
10;2020-07-20T06:06:25;2020-07-19T16:40:55;SPANISH
